Multi-Step Method - Milne's Method
Single-Step Methos - RK 4th Order Method

---- Single Step Method ----

y0 = y(1) = 1, f(1, 1) = 2
y(c5)11 = y(1.11) = 1.28091993, f(1.11, 1.28091993) = 3.2536753

y11 = y(1.11) = 1.28091993, f(1.11, 1.28091993) = 3.2536753

y(p)12 = y(1.12) = 1.31428327, f(1.12, 1.31428327) = 3.42117594
y(c1)12 = y(1.12) = 1.31428372, f(1.12, 1.31428372) = 3.42117742
y(c2)12 = y(1.12) = 1.31428373, f(1.12, 1.31428373) = 3.42117746
y(c3)12 = y(1.12) = 1.31428373, f(1.12, 1.31428373) = 3.42117746
y(c4)12 = y(1.12) = 1.31428373, f(1.12, 1.31428373) = 3.42117746
y(c5)12 = y(1.12) = 1.31428373, f(1.12, 1.31428373) = 3.42117746

y12 = y(1.12) = 1.31428373, f(1.12, 1.31428373) = 3.42117746

y(p)13 = y(1.13) = 1.34938715, f(1.13, 1.34938715) = 3.60193785
y(c1)13 = y(1.13) = 1.34938767, f(1.13, 1.34938767) = 3.60193964
y(c2)13 = y(1.13) = 1.34938768, f(1.13, 1.34938768) = 3.60193968
y(c3)13 = y(1.13) = 1.34938768, f(1.13, 1.34938768) = 3.60193968
y(c4)13 = y(1.13) = 1.34938768, f(1.13, 1.34938768) = 3.60193968
y(c5)13 = y(1.13) = 1.34938768, f(1.13, 1.34938768) = 3.60193968

y13 = y(1.13) = 1.34938768, f(1.13, 1.34938768) = 3.60193968

y(p)14 = y(1.14) = 1.38637111, f(1.14, 1.38637111) = 3.7974635
y(c1)14 = y(1.14) = 1.38637173, f(1.14, 1.38637173) = 3.79746574
y(c2)14 = y(1.14) = 1.38637174, f(1.14, 1.38637174) = 3.79746577
y(c3)14 = y(1.14) = 1.38637174, f(1.14, 1.38637174) = 3.79746577
y(c4)14 = y(1.14) = 1.38637174, f(1.14, 1.38637174) = 3.79746577
y(c5)14 = y(1.14) = 1.38637174, f(1.14, 1.38637174) = 3.79746577

y14 = y(1.14) = 1.38637174, f(1.14, 1.38637174) = 3.79746577

y(p)15 = y(1.15) = 1.42539122, f(1.15, 1.42539122) = 4.00947632
y(c1)15 = y(1.15) = 1.42539194, f(1.15, 1.42539194) = 4.00947904
y(c2)15 = y(1.15) = 1.42539195, f(1.15, 1.42539195) = 4.00947907
y(c3)15 = y(1.15) = 1.42539195, f(1.15, 1.42539195) = 4.00947907
y(c4)15 = y(1.15) = 1.42539195, f(1.15, 1.42539195) = 4.00947907
y(c5)15 = y(1.15) = 1.42539195, f(1.15, 1.42539195) = 4.00947907

y15 = y(1.15) = 1.42539195, f(1.15, 1.42539195) = 4.00947907

y(p)16 = y(1.16) = 1.46662202, f(1.16, 1.46662202) = 4.23995889
y(c1)16 = y(1.16) = 1.46662288, f(1.16, 1.46662288) = 4.23996228
y(c2)16 = y(1.16) = 1.46662289, f(1.16, 1.46662289) = 4.23996232
y(c3)16 = y(1.16) = 1.46662289, f(1.16, 1.46662289) = 4.23996232
y(c4)16 = y(1.16) = 1.46662289, f(1.16, 1.46662289) = 4.23996232
y(c5)16 = y(1.16) = 1.46662289, f(1.16, 1.46662289) = 4.23996232

y16 = y(1.16) = 1.46662289, f(1.16, 1.46662289) = 4.23996232

y(p)17 = y(1.17) = 1.51025937, f(1.17, 1.51025937) = 4.49120124
y(c1)17 = y(1.17) = 1.51026038, f(1.17, 1.51026038) = 4.49120541
y(c2)17 = y(1.17) = 1.5102604, f(1.17, 1.5102604) = 4.4912055
y(c3)17 = y(1.17) = 1.5102604, f(1.17, 1.5102604) = 4.4912055
y(c4)17 = y(1.17) = 1.5102604, f(1.17, 1.5102604) = 4.4912055
y(c5)17 = y(1.17) = 1.5102604, f(1.17, 1.5102604) = 4.4912055

y17 = y(1.17) = 1.5102604, f(1.17, 1.5102604) = 4.4912055

y(p)18 = y(1.18) = 1.55652383, f(1.18, 1.55652383) = 4.76585998
y(c1)18 = y(1.18) = 1.55652504, f(1.18, 1.55652504) = 4.76586523
y(c2)18 = y(1.18) = 1.55652506, f(1.18, 1.55652506) = 4.76586531
y(c3)18 = y(1.18) = 1.55652506, f(1.18, 1.55652506) = 4.76586531
y(c4)18 = y(1.18) = 1.55652506, f(1.18, 1.55652506) = 4.76586531
y(c5)18 = y(1.18) = 1.55652506, f(1.18, 1.55652506) = 4.76586531

y18 = y(1.18) = 1.55652506, f(1.18, 1.55652506) = 4.76586531

y(p)19 = y(1.19) = 1.60566461, f(1.19, 1.60566461) = 5.06703073
y(c1)19 = y(1.19) = 1.60566606, f(1.19, 1.60566606) = 5.06703733
y(c2)19 = y(1.19) = 1.60566608, f(1.19, 1.60566608) = 5.06703742
y(c3)19 = y(1.19) = 1.60566608, f(1.19, 1.60566608) = 5.06703742
y(c4)19 = y(1.19) = 1.60566608, f(1.19, 1.60566608) = 5.06703742
y(c5)19 = y(1.19) = 1.60566608, f(1.19, 1.60566608) = 5.06703742

y19 = y(1.19) = 1.60566608, f(1.19, 1.60566608) = 5.06703742

y(p)20 = y(1.2) = 1.6579645, f(1.2, 1.6579645) = 5.39833865
y(c1)20 = y(1.2) = 1.65796624, f(1.2, 1.65796624) = 5.39834696
y(c2)20 = y(1.2) = 1.65796627, f(1.2, 1.65796627) = 5.3983471
y(c3)20 = y(1.2) = 1.65796627, f(1.2, 1.65796627) = 5.3983471
y(c4)20 = y(1.2) = 1.65796627, f(1.2, 1.65796627) = 5.3983471
y(c5)20 = y(1.2) = 1.65796627, f(1.2, 1.65796627) = 5.3983471

y20 = y(1.2) = 1.65796627, f(1.2, 1.65796627) = 5.3983471

y(p)21 = y(1.21) = 1.71374557, f(1.21, 1.71374557) = 5.76405025
y(c1)21 = y(1.21) = 1.71374767, f(1.21, 1.71374767) = 5.76406079
y(c2)21 = y(1.21) = 1.7137477, f(1.21, 1.7137477) = 5.76406094
y(c3)21 = y(1.21) = 1.7137477, f(1.21, 1.7137477) = 5.76406094
y(c4)21 = y(1.21) = 1.7137477, f(1.21, 1.7137477) = 5.76406094
y(c5)21 = y(1.21) = 1.7137477, f(1.21, 1.7137477) = 5.76406094

y21 = y(1.21) = 1.7137477, f(1.21, 1.7137477) = 5.76406094

y(p)22 = y(1.22) = 1.77337639, f(1.22, 1.77337639) = 6.16921531
y(c1)22 = y(1.22) = 1.77337896, f(1.22, 1.77337896) = 6.16922888
y(c2)22 = y(1.22) = 1.773379, f(1.22, 1.773379) = 6.16922909
y(c3)22 = y(1.22) = 1.773379, f(1.22, 1.773379) = 6.16922909
y(c4)22 = y(1.22) = 1.773379, f(1.22, 1.773379) = 6.16922909
y(c5)22 = y(1.22) = 1.773379, f(1.22, 1.773379) = 6.16922909

y22 = y(1.22) = 1.773379, f(1.22, 1.773379) = 6.16922909

y(p)23 = y(1.23) = 1.83728063, f(1.23, 1.83728063) = 6.61984541
y(c1)23 = y(1.23) = 1.83728378, f(1.23, 1.83728378) = 6.61986292
y(c2)23 = y(1.23) = 1.83728383, f(1.23, 1.83728383) = 6.6198632
y(c3)23 = y(1.23) = 1.83728384, f(1.23, 1.83728384) = 6.61986326
y(c4)23 = y(1.23) = 1.83728384, f(1.23, 1.83728384) = 6.61986326
y(c5)23 = y(1.23) = 1.83728384, f(1.23, 1.83728384) = 6.61986326

y23 = y(1.23) = 1.83728384, f(1.23, 1.83728384) = 6.61986326

y(p)24 = y(1.24) = 1.90594786, f(1.24, 1.90594786) = 7.12314303
y(c1)24 = y(1.24) = 1.90595175, f(1.24, 1.90595175) = 7.12316583
y(c2)24 = y(1.24) = 1.90595183, f(1.24, 1.90595183) = 7.1231663
y(c3)24 = y(1.24) = 1.90595183, f(1.24, 1.90595183) = 7.1231663
y(c4)24 = y(1.24) = 1.90595183, f(1.24, 1.90595183) = 7.1231663
y(c5)24 = y(1.24) = 1.90595183, f(1.24, 1.90595183) = 7.1231663

y24 = y(1.24) = 1.90595183, f(1.24, 1.90595183) = 7.1231663

y(p)25 = y(1.25) = 1.97994673, f(1.25, 1.97994673) = 7.6877954
y(c1)25 = y(1.25) = 1.97995159, f(1.25, 1.97995159) = 7.68782547
y(c2)25 = y(1.25) = 1.97995169, f(1.25, 1.97995169) = 7.68782609
y(c3)25 = y(1.25) = 1.97995169, f(1.25, 1.97995169) = 7.68782609
y(c4)25 = y(1.25) = 1.97995169, f(1.25, 1.97995169) = 7.68782609
y(c5)25 = y(1.25) = 1.97995169, f(1.25, 1.97995169) = 7.68782609

y25 = y(1.25) = 1.97995169, f(1.25, 1.97995169) = 7.68782609

y(p)26 = y(1.26) = 2.05994183, f(1.26, 2.05994183) = 8.32435888
y(c1)26 = y(1.26) = 2.05994793, f(1.26, 2.05994793) = 8.32439878
y(c2)26 = y(1.26) = 2.05994806, f(1.26, 2.05994806) = 8.32439963
y(c3)26 = y(1.26) = 2.05994806, f(1.26, 2.05994806) = 8.32439963
y(c4)26 = y(1.26) = 2.05994806, f(1.26, 2.05994806) = 8.32439963
y(c5)26 = y(1.26) = 2.05994806, f(1.26, 2.05994806) = 8.32439963

y26 = y(1.26) = 2.05994806, f(1.26, 2.05994806) = 8.32439963

y(p)27 = y(1.27) = 2.14671458, f(1.27, 2.14671458) = 9.04576173
y(c1)27 = y(1.27) = 2.14672231, f(1.27, 2.14672231) = 9.04581526
y(c2)27 = y(1.27) = 2.14672249, f(1.27, 2.14672249) = 9.0458165
y(c3)27 = y(1.27) = 2.14672249, f(1.27, 2.14672249) = 9.0458165
y(c4)27 = y(1.27) = 2.14672249, f(1.27, 2.14672249) = 9.0458165
y(c5)27 = y(1.27) = 2.14672249, f(1.27, 2.14672249) = 9.0458165

y27 = y(1.27) = 2.14672249, f(1.27, 2.14672249) = 9.0458165

y(p)28 = y(1.28) = 2.2411903, f(1.28, 2.2411903) = 9.867975
y(c1)28 = y(1.28) = 2.2412002, f(1.28, 2.2412002) = 9.86804771
y(c2)28 = y(1.28) = 2.24120044, f(1.28, 2.24120044) = 9.86804947
y(c3)28 = y(1.28) = 2.24120044, f(1.28, 2.24120044) = 9.86804947
y(c4)28 = y(1.28) = 2.24120044, f(1.28, 2.24120044) = 9.86804947
y(c5)28 = y(1.28) = 2.24120044, f(1.28, 2.24120044) = 9.86804947

y28 = y(1.28) = 2.24120044, f(1.28, 2.24120044) = 9.86804947

y(p)29 = y(1.29) = 2.34447278, f(1.29, 2.34447278) = 10.81091321
y(c1)29 = y(1.29) = 2.34448558, f(1.29, 2.34448558) = 10.81101309
y(c2)29 = y(1.29) = 2.34448591, f(1.29, 2.34448591) = 10.81101566
y(c3)29 = y(1.29) = 2.34448592, f(1.29, 2.34448592) = 10.81101574
y(c4)29 = y(1.29) = 2.34448592, f(1.29, 2.34448592) = 10.81101574
y(c5)29 = y(1.29) = 2.34448592, f(1.29, 2.34448592) = 10.81101574

y29 = y(1.29) = 2.34448592, f(1.29, 2.34448592) = 10.81101574

y(p)30 = y(1.3) = 2.45788959, f(1.3, 2.45788959) = 11.89966389
y(c1)30 = y(1.3) = 2.45790636, f(1.3, 2.45790636) = 11.89980321
y(c2)30 = y(1.3) = 2.45790683, f(1.3, 2.45790683) = 11.89980711
y(c3)30 = y(1.3) = 2.45790684, f(1.3, 2.45790684) = 11.8998072
y(c4)30 = y(1.3) = 2.45790684, f(1.3, 2.45790684) = 11.8998072
y(c5)30 = y(1.3) = 2.45790684, f(1.3, 2.45790684) = 11.8998072

y30 = y(1.3) = 2.45790684, f(1.3, 2.45790684) = 11.8998072

y(p)31 = y(1.31) = 2.58305179, f(1.31, 2.58305179) = 13.16618786
y(c1)31 = y(1.31) = 2.58307403, f(1.31, 2.58307403) = 13.16638503
y(c2)31 = y(1.31) = 2.58307469, f(1.31, 2.58307469) = 13.16639088
y(c3)31 = y(1.31) = 2.5830747, f(1.31, 2.5830747) = 13.16639097
y(c4)31 = y(1.31) = 2.58307471, f(1.31, 2.58307471) = 13.16639105
y(c5)31 = y(1.31) = 2.58307471, f(1.31, 2.58307471) = 13.16639105

y31 = y(1.31) = 2.58307471, f(1.31, 2.58307471) = 13.16639105

y(p)32 = y(1.32) = 2.72193386, f(1.32, 2.72193386) = 14.65170907
y(c1)32 = y(1.32) = 2.72196377, f(1.32, 2.72196377) = 14.65199278
y(c2)32 = y(1.32) = 2.72196472, f(1.32, 2.72196472) = 14.65200179
y(c3)32 = y(1.32) = 2.72196475, f(1.32, 2.72196475) = 14.65200208
y(c4)32 = y(1.32) = 2.72196475, f(1.32, 2.72196475) = 14.65200208
y(c5)32 = y(1.32) = 2.72196475, f(1.32, 2.72196475) = 14.65200208

y32 = y(1.32) = 2.72196475, f(1.32, 2.72196475) = 14.65200208

y(p)33 = y(1.33) = 2.87698229, f(1.33, 2.87698229) = 16.41013323
y(c1)33 = y(1.33) = 2.87702315, f(1.33, 2.87702315) = 16.41054912
y(c2)33 = y(1.33) = 2.87702454, f(1.33, 2.87702454) = 16.41056326
y(c3)33 = y(1.33) = 2.87702459, f(1.33, 2.87702459) = 16.41056377
y(c4)33 = y(1.33) = 2.87702459, f(1.33, 2.87702459) = 16.41056377
y(c5)33 = y(1.33) = 2.87702459, f(1.33, 2.87702459) = 16.41056377

y33 = y(1.33) = 2.87702459, f(1.33, 2.87702459) = 16.41056377

y(p)34 = y(1.34) = 3.05126561, f(1.34, 3.05126561) = 18.5130343
y(c1)34 = y(1.34) = 3.05132239, f(1.34, 3.05132239) = 18.51365649
y(c2)34 = y(1.34) = 3.05132446, f(1.34, 3.05132446) = 18.51367917
y(c3)34 = y(1.34) = 3.05132454, f(1.34, 3.05132454) = 18.51368005
y(c4)34 = y(1.34) = 3.05132454, f(1.34, 3.05132454) = 18.51368005
y(c5)34 = y(1.34) = 3.05132454, f(1.34, 3.05132454) = 18.51368005

y34 = y(1.34) = 3.05132454, f(1.34, 3.05132454) = 18.51368005

y(p)35 = y(1.35) = 3.24868538, f(1.35, 3.24868538) = 21.05708608
y(c1)35 = y(1.35) = 3.24876582, f(1.35, 3.24876582) = 21.05803862
y(c2)35 = y(1.35) = 3.248769, f(1.35, 3.248769) = 21.05807628
y(c3)35 = y(1.35) = 3.24876912, f(1.35, 3.24876912) = 21.0580777
y(c4)35 = y(1.35) = 3.24876913, f(1.35, 3.24876913) = 21.05807782
y(c5)35 = y(1.35) = 3.24876913, f(1.35, 3.24876913) = 21.05807782

y35 = y(1.35) = 3.24876913, f(1.35, 3.24876913) = 21.05807782

y(p)36 = y(1.36) = 3.47427946, f(1.36, 3.47427946) = 24.17541462
y(c1)36 = y(1.36) = 3.47439589, f(1.36, 3.47439589) = 24.17691101
y(c2)36 = y(1.36) = 3.47440088, f(1.36, 3.47440088) = 24.17697514
y(c3)36 = y(1.36) = 3.47440109, f(1.36, 3.47440109) = 24.17697784
y(c4)36 = y(1.36) = 3.4744011, f(1.36, 3.4744011) = 24.17697797
y(c5)36 = y(1.36) = 3.4744011, f(1.36, 3.4744011) = 24.17697797

y36 = y(1.36) = 3.4744011, f(1.36, 3.4744011) = 24.17697797

y(p)37 = y(1.37) = 3.73466777, f(1.37, 3.73466777) = 28.0554195
y(c1)37 = y(1.37) = 3.73484049, f(1.37, 3.73484049) = 28.05784095
y(c2)37 = y(1.37) = 3.73484857, f(1.37, 3.73484857) = 28.05795423
y(c3)37 = y(1.37) = 3.73484894, f(1.37, 3.73484894) = 28.05795942
y(c4)37 = y(1.37) = 3.73484896, f(1.37, 3.73484896) = 28.0579597
y(c5)37 = y(1.37) = 3.73484896, f(1.37, 3.73484896) = 28.0579597

y37 = y(1.37) = 3.73484896, f(1.37, 3.73484896) = 28.0579597

y(p)38 = y(1.38) = 4.03872583, f(1.38, 4.03872583) = 32.96765177
y(c1)38 = y(1.38) = 4.03898933, f(1.38, 4.03898933) = 32.97170525
y(c2)38 = y(1.38) = 4.03900284, f(1.38, 4.03900284) = 32.97191308
y(c3)38 = y(1.38) = 4.03900353, f(1.38, 4.03900353) = 32.9719237
y(c4)38 = y(1.38) = 4.03900357, f(1.38, 4.03900357) = 32.97192431
y(c5)38 = y(1.38) = 4.03900357, f(1.38, 4.03900357) = 32.97192431

y38 = y(1.38) = 4.03900357, f(1.38, 4.03900357) = 32.97192431

y(p)39 = y(1.39) = 4.39863373, f(1.39, 4.39863373) = 39.31432963
y(c1)39 = y(1.39) = 4.39904892, f(1.39, 4.39904892) = 39.32138703
y(c2)39 = y(1.39) = 4.39907244, f(1.39, 4.39907244) = 39.32178684
y(c3)39 = y(1.39) = 4.39907377, f(1.39, 4.39907377) = 39.32180945
y(c4)39 = y(1.39) = 4.39907385, f(1.39, 4.39907385) = 39.32181081
y(c5)39 = y(1.39) = 4.39907385, f(1.39, 4.39907385) = 39.32181081

y39 = y(1.39) = 4.39907385, f(1.39, 4.39907385) = 39.32181081

y(p)40 = y(1.4) = 4.83156932, f(1.4, 4.83156932) = 47.7143617
y(c1)40 = y(1.4) = 4.83224867, f(1.4, 4.83224867) = 47.72722933
y(c2)40 = y(1.4) = 4.83229156, f(1.4, 4.83229156) = 47.72804177
y(c3)40 = y(1.4) = 4.83229427, f(1.4, 4.83229427) = 47.72809311
y(c4)40 = y(1.4) = 4.83229444, f(1.4, 4.83229444) = 47.72809633
y(c5)40 = y(1.4) = 4.83229445, f(1.4, 4.83229445) = 47.72809652

y40 = y(1.4) = 4.83229445, f(1.4, 4.83229445) = 47.72809652

