Multi-Step Method - Milne's Method
Single-Step Method - Modified Euler's Method

---- Single Step Method ----

y0 = y(1) = 1, f(1, 1) = 2
y(c5)17 = y(1.17) = 1.51025809, f(1.17, 1.51025809) = 4.49119595

y17 = y(1.17) = 1.51025809, f(1.17, 1.51025809) = 4.49119595

y(p)18 = y(1.18) = 1.55652194, f(1.18, 1.55652194) = 4.76585179
y(c1)18 = y(1.18) = 1.5565232, f(1.18, 1.5565232) = 4.76585725
y(c2)18 = y(1.18) = 1.55652322, f(1.18, 1.55652322) = 4.76585734
y(c3)18 = y(1.18) = 1.55652322, f(1.18, 1.55652322) = 4.76585734
y(c4)18 = y(1.18) = 1.55652322, f(1.18, 1.55652322) = 4.76585734
y(c5)18 = y(1.18) = 1.55652322, f(1.18, 1.55652322) = 4.76585734

y18 = y(1.18) = 1.55652322, f(1.18, 1.55652322) = 4.76585734

y(p)19 = y(1.19) = 1.60566219, f(1.19, 1.60566219) = 5.06701973
y(c1)19 = y(1.19) = 1.60566357, f(1.19, 1.60566357) = 5.067026
y(c2)19 = y(1.19) = 1.60566359, f(1.19, 1.60566359) = 5.06702609
y(c3)19 = y(1.19) = 1.60566359, f(1.19, 1.60566359) = 5.06702609
y(c4)19 = y(1.19) = 1.60566359, f(1.19, 1.60566359) = 5.06702609
y(c5)19 = y(1.19) = 1.60566359, f(1.19, 1.60566359) = 5.06702609

y19 = y(1.19) = 1.60566359, f(1.19, 1.60566359) = 5.06702609

y(p)20 = y(1.2) = 1.65796239, f(1.2, 1.65796239) = 5.39832857
y(c1)20 = y(1.2) = 1.65796419, f(1.2, 1.65796419) = 5.39833717
y(c2)20 = y(1.2) = 1.65796422, f(1.2, 1.65796422) = 5.39833731
y(c3)20 = y(1.2) = 1.65796422, f(1.2, 1.65796422) = 5.39833731
y(c4)20 = y(1.2) = 1.65796422, f(1.2, 1.65796422) = 5.39833731
y(c5)20 = y(1.2) = 1.65796422, f(1.2, 1.65796422) = 5.39833731

y20 = y(1.2) = 1.65796422, f(1.2, 1.65796422) = 5.39833731

y(p)21 = y(1.21) = 1.71374293, f(1.21, 1.71374293) = 5.764037
y(c1)21 = y(1.21) = 1.71374496, f(1.21, 1.71374496) = 5.76404719
y(c2)21 = y(1.21) = 1.713745, f(1.21, 1.713745) = 5.76404739
y(c3)21 = y(1.21) = 1.713745, f(1.21, 1.713745) = 5.76404739
y(c4)21 = y(1.21) = 1.713745, f(1.21, 1.713745) = 5.76404739
y(c5)21 = y(1.21) = 1.713745, f(1.21, 1.713745) = 5.76404739

y21 = y(1.21) = 1.713745, f(1.21, 1.713745) = 5.76404739

y(p)22 = y(1.22) = 1.77337402, f(1.22, 1.77337402) = 6.1692028
y(c1)22 = y(1.22) = 1.77337665, f(1.22, 1.77337665) = 6.16921668
y(c2)22 = y(1.22) = 1.7733767, f(1.22, 1.7733767) = 6.16921695
y(c3)22 = y(1.22) = 1.7733767, f(1.22, 1.7733767) = 6.16921695
y(c4)22 = y(1.22) = 1.7733767, f(1.22, 1.7733767) = 6.16921695
y(c5)22 = y(1.22) = 1.7733767, f(1.22, 1.7733767) = 6.16921695

y22 = y(1.22) = 1.7733767, f(1.22, 1.7733767) = 6.16921695

y(p)23 = y(1.23) = 1.83727774, f(1.23, 1.83727774) = 6.61982935
y(c1)23 = y(1.23) = 1.83728082, f(1.23, 1.83728082) = 6.61984647
y(c2)23 = y(1.23) = 1.83728087, f(1.23, 1.83728087) = 6.61984675
y(c3)23 = y(1.23) = 1.83728087, f(1.23, 1.83728087) = 6.61984675
y(c4)23 = y(1.23) = 1.83728087, f(1.23, 1.83728087) = 6.61984675
y(c5)23 = y(1.23) = 1.83728087, f(1.23, 1.83728087) = 6.61984675

y23 = y(1.23) = 1.83728087, f(1.23, 1.83728087) = 6.61984675

y(p)24 = y(1.24) = 1.90594517, f(1.24, 1.90594517) = 7.12312726
y(c1)24 = y(1.24) = 1.90594914, f(1.24, 1.90594914) = 7.12315053
y(c2)24 = y(1.24) = 1.90594921, f(1.24, 1.90594921) = 7.12315094
y(c3)24 = y(1.24) = 1.90594922, f(1.24, 1.90594922) = 7.123151
y(c4)24 = y(1.24) = 1.90594922, f(1.24, 1.90594922) = 7.123151
y(c5)24 = y(1.24) = 1.90594922, f(1.24, 1.90594922) = 7.123151

y24 = y(1.24) = 1.90594922, f(1.24, 1.90594922) = 7.123151

y(p)25 = y(1.25) = 1.97994352, f(1.25, 1.97994352) = 7.68777553
y(c1)25 = y(1.25) = 1.97994829, f(1.25, 1.97994829) = 7.68780505
y(c2)25 = y(1.25) = 1.97994839, f(1.25, 1.97994839) = 7.68780567
y(c3)25 = y(1.25) = 1.97994839, f(1.25, 1.97994839) = 7.68780567
y(c4)25 = y(1.25) = 1.97994839, f(1.25, 1.97994839) = 7.68780567
y(c5)25 = y(1.25) = 1.97994839, f(1.25, 1.97994839) = 7.68780567

y25 = y(1.25) = 1.97994839, f(1.25, 1.97994839) = 7.68780567

y(p)26 = y(1.26) = 2.05993875, f(1.26, 2.05993875) = 8.32433874
y(c1)26 = y(1.26) = 2.05994493, f(1.26, 2.05994493) = 8.32437916
y(c2)26 = y(1.26) = 2.05994506, f(1.26, 2.05994506) = 8.32438001
y(c3)26 = y(1.26) = 2.05994507, f(1.26, 2.05994507) = 8.32438007
y(c4)26 = y(1.26) = 2.05994507, f(1.26, 2.05994507) = 8.32438007
y(c5)26 = y(1.26) = 2.05994507, f(1.26, 2.05994507) = 8.32438007

y26 = y(1.26) = 2.05994507, f(1.26, 2.05994507) = 8.32438007

y(p)27 = y(1.27) = 2.14671096, f(1.27, 2.14671096) = 9.04573666
y(c1)27 = y(1.27) = 2.1467186, f(1.27, 2.1467186) = 9.04578957
y(c2)27 = y(1.27) = 2.14671878, f(1.27, 2.14671878) = 9.04579081
y(c3)27 = y(1.27) = 2.14671878, f(1.27, 2.14671878) = 9.04579081
y(c4)27 = y(1.27) = 2.14671878, f(1.27, 2.14671878) = 9.04579081
y(c5)27 = y(1.27) = 2.14671878, f(1.27, 2.14671878) = 9.04579081

y27 = y(1.27) = 2.14671878, f(1.27, 2.14671878) = 9.04579081

y(p)28 = y(1.28) = 2.24118673, f(1.28, 2.24118673) = 9.86794878
y(c1)28 = y(1.28) = 2.24119671, f(1.28, 2.24119671) = 9.86802208
y(c2)28 = y(1.28) = 2.24119695, f(1.28, 2.24119695) = 9.86802384
y(c3)28 = y(1.28) = 2.24119696, f(1.28, 2.24119696) = 9.86802391
y(c4)28 = y(1.28) = 2.24119696, f(1.28, 2.24119696) = 9.86802391
y(c5)28 = y(1.28) = 2.24119696, f(1.28, 2.24119696) = 9.86802391

y28 = y(1.28) = 2.24119696, f(1.28, 2.24119696) = 9.86802391

y(p)29 = y(1.29) = 2.34446862, f(1.29, 2.34446862) = 10.81088075
y(c1)29 = y(1.29) = 2.34448134, f(1.29, 2.34448134) = 10.81098
y(c2)29 = y(1.29) = 2.34448167, f(1.29, 2.34448167) = 10.81098258
y(c3)29 = y(1.29) = 2.34448168, f(1.29, 2.34448168) = 10.81098265
y(c4)29 = y(1.29) = 2.34448168, f(1.29, 2.34448168) = 10.81098265
y(c5)29 = y(1.29) = 2.34448168, f(1.29, 2.34448168) = 10.81098265

y29 = y(1.29) = 2.34448168, f(1.29, 2.34448168) = 10.81098265

y(p)30 = y(1.3) = 2.45788538, f(1.3, 2.45788538) = 11.89962891
y(c1)30 = y(1.3) = 2.45790224, f(1.3, 2.45790224) = 11.89976898
y(c2)30 = y(1.3) = 2.4579027, f(1.3, 2.4579027) = 11.8997728
y(c3)30 = y(1.3) = 2.45790272, f(1.3, 2.45790272) = 11.89977297
y(c4)30 = y(1.3) = 2.45790272, f(1.3, 2.45790272) = 11.89977297
y(c5)30 = y(1.3) = 2.45790272, f(1.3, 2.45790272) = 11.89977297

y30 = y(1.3) = 2.45790272, f(1.3, 2.45790272) = 11.89977297

y(p)31 = y(1.31) = 2.58304693, f(1.31, 2.58304693) = 13.16614477
y(c1)31 = y(1.31) = 2.58306908, f(1.31, 2.58306908) = 13.16634114
y(c2)31 = y(1.31) = 2.58306973, f(1.31, 2.58306973) = 13.1663469
y(c3)31 = y(1.31) = 2.58306975, f(1.31, 2.58306975) = 13.16634708
y(c4)31 = y(1.31) = 2.58306975, f(1.31, 2.58306975) = 13.16634708
y(c5)31 = y(1.31) = 2.58306975, f(1.31, 2.58306975) = 13.16634708

y31 = y(1.31) = 2.58306975, f(1.31, 2.58306975) = 13.16634708

y(p)32 = y(1.32) = 2.72192878, f(1.32, 2.72192878) = 14.65166088
y(c1)32 = y(1.32) = 2.72195879, f(1.32, 2.72195879) = 14.65194554
y(c2)32 = y(1.32) = 2.72195974, f(1.32, 2.72195974) = 14.65195455
y(c3)32 = y(1.32) = 2.72195977, f(1.32, 2.72195977) = 14.65195484
y(c4)32 = y(1.32) = 2.72195977, f(1.32, 2.72195977) = 14.65195484
y(c5)32 = y(1.32) = 2.72195977, f(1.32, 2.72195977) = 14.65195484

y32 = y(1.32) = 2.72195977, f(1.32, 2.72195977) = 14.65195484

y(p)33 = y(1.33) = 2.87697646, f(1.33, 2.87697646) = 16.41007389
y(c1)33 = y(1.33) = 2.87701722, f(1.33, 2.87701722) = 16.41048876
y(c2)33 = y(1.33) = 2.8770186, f(1.33, 2.8770186) = 16.4105028
y(c3)33 = y(1.33) = 2.87701865, f(1.33, 2.87701865) = 16.41050331
y(c4)33 = y(1.33) = 2.87701865, f(1.33, 2.87701865) = 16.41050331
y(c5)33 = y(1.33) = 2.87701865, f(1.33, 2.87701865) = 16.41050331

y33 = y(1.33) = 2.87701865, f(1.33, 2.87701865) = 16.41050331

y(p)34 = y(1.34) = 3.05125933, f(1.34, 3.05125933) = 18.51296549
y(c1)34 = y(1.34) = 3.05131622, f(1.34, 3.05131622) = 18.51358888
y(c2)34 = y(1.34) = 3.05131829, f(1.34, 3.05131829) = 18.51361156
y(c3)34 = y(1.34) = 3.05131837, f(1.34, 3.05131837) = 18.51361244
y(c4)34 = y(1.34) = 3.05131837, f(1.34, 3.05131837) = 18.51361244
y(c5)34 = y(1.34) = 3.05131837, f(1.34, 3.05131837) = 18.51361244

y34 = y(1.34) = 3.05131837, f(1.34, 3.05131837) = 18.51361244

y(p)35 = y(1.35) = 3.24867817, f(1.35, 3.24867817) = 21.05700071
y(c1)35 = y(1.35) = 3.2487585, f(1.35, 3.2487585) = 21.05795194
y(c2)35 = y(1.35) = 3.24876167, f(1.35, 3.24876167) = 21.05798948
y(c3)35 = y(1.35) = 3.24876179, f(1.35, 3.24876179) = 21.0579909
y(c4)35 = y(1.35) = 3.2487618, f(1.35, 3.2487618) = 21.05799102
y(c5)35 = y(1.35) = 3.2487618, f(1.35, 3.2487618) = 21.05799102

y35 = y(1.35) = 3.2487618, f(1.35, 3.2487618) = 21.05799102

y(p)36 = y(1.36) = 3.47427145, f(1.36, 3.47427145) = 24.17531168
y(c1)36 = y(1.36) = 3.474388, f(1.36, 3.474388) = 24.1768096
y(c2)36 = y(1.36) = 3.47439299, f(1.36, 3.47439299) = 24.17687374
y(c3)36 = y(1.36) = 3.4743932, f(1.36, 3.4743932) = 24.17687644
y(c4)36 = y(1.36) = 3.47439321, f(1.36, 3.47439321) = 24.17687657
y(c5)36 = y(1.36) = 3.47439321, f(1.36, 3.47439321) = 24.17687657

y36 = y(1.36) = 3.47439321, f(1.36, 3.47439321) = 24.17687657

y(p)37 = y(1.37) = 3.73465848, f(1.37, 3.73465848) = 28.05528926
y(c1)37 = y(1.37) = 3.73483109, f(1.37, 3.73483109) = 28.05770916
y(c2)37 = y(1.37) = 3.73483915, f(1.37, 3.73483915) = 28.05782216
y(c3)37 = y(1.37) = 3.73483953, f(1.37, 3.73483953) = 28.05782749
y(c4)37 = y(1.37) = 3.73483955, f(1.37, 3.73483955) = 28.05782777
y(c5)37 = y(1.37) = 3.73483955, f(1.37, 3.73483955) = 28.05782777

y37 = y(1.37) = 3.73483955, f(1.37, 3.73483955) = 28.05782777

y(p)38 = y(1.38) = 4.03871518, f(1.38, 4.03871518) = 32.96748795
y(c1)38 = y(1.38) = 4.0389788, f(1.38, 4.0389788) = 32.97154326
y(c2)38 = y(1.38) = 4.03899231, f(1.38, 4.03899231) = 32.97175109
y(c3)38 = y(1.38) = 4.03899301, f(1.38, 4.03899301) = 32.97176186
y(c4)38 = y(1.38) = 4.03899304, f(1.38, 4.03899304) = 32.97176232
y(c5)38 = y(1.38) = 4.03899304, f(1.38, 4.03899304) = 32.97176232

y38 = y(1.38) = 4.03899304, f(1.38, 4.03899304) = 32.97176232

y(p)39 = y(1.39) = 4.39862113, f(1.39, 4.39862113) = 39.31411546
y(c1)39 = y(1.39) = 4.39903619, f(1.39, 4.39903619) = 39.32117063
y(c2)39 = y(1.39) = 4.39905971, f(1.39, 4.39905971) = 39.32157045
y(c3)39 = y(1.39) = 4.39906104, f(1.39, 4.39906104) = 39.32159305
y(c4)39 = y(1.39) = 4.39906112, f(1.39, 4.39906112) = 39.32159441
y(c5)39 = y(1.39) = 4.39906112, f(1.39, 4.39906112) = 39.32159441

y39 = y(1.39) = 4.39906112, f(1.39, 4.39906112) = 39.32159441

y(p)40 = y(1.4) = 4.8315543, f(1.4, 4.8315543) = 47.71407723
y(c1)40 = y(1.4) = 4.83223376, f(1.4, 4.83223376) = 47.7269469
y(c2)40 = y(1.4) = 4.83227666, f(1.4, 4.83227666) = 47.72775953
y(c3)40 = y(1.4) = 4.83227937, f(1.4, 4.83227937) = 47.72781086
y(c4)40 = y(1.4) = 4.83227954, f(1.4, 4.83227954) = 47.72781408
y(c5)40 = y(1.4) = 4.83227955, f(1.4, 4.83227955) = 47.72781427

y40 = y(1.4) = 4.83227955, f(1.4, 4.83227955) = 47.72781427

